,0
0,平安银行
1,万科
2,国农科技
3,世纪星源
4,深振业
5,全新好
6,神州高铁
7,中国宝安
8,美丽
9,深物业
10,南玻
11,沙河股份
12,深康佳
13,中华
14,深粮控股
15,深华发
16,深科技
17,深天地
18,特力
19,飞亚达
20,深圳能源
21,国药一致
22,深深房
23,富奥股份
24,大悦城
25,深桑达
26,神州数码
27,中国天楹
28,华联控股
29,深南电
30,深大通
31,中集集团
32,东旭蓝天
33,中洲控股
34,深纺织
35,泛海控股
36,京基智农
37,德赛电池
38,深天马
39,方大集团
40,皇庭国际
41,深赛格
42,华锦股份
43,中金岭南
44,农产品
45,深圳华强
46,中兴通讯
47,北方国际
48,中国长城
49,华控赛格
50,华侨城
51,特发信息
52,海王生物
53,盐田港
54,深圳机场
55,天健集团
56,广聚能源
57,中信海直
58,科技
59,宜华健康
60,中成股份
61,丰原药业
62,川能动力
63,华数传媒
64,中联重科
65,常山北明
66,国际实业
67,申万宏源
68,东方盛虹
69,美的集团
70,潍柴动力
71,许继电气
72,冀东水泥
73,金融街
74,双林生物
75,长虹华意
76,胜利股份
77,藏格
78,地矿
79,沈机
80,英特集团
81,东旭光电
82,渤海租赁
83,民生控股
84,合肥百货
85,通程控股
86,吉林化纤
87,南京公用
88,宜化
89,东阿阿胶
90,徐工机械
91,兴业矿业
92,华天酒店
93,粤高速
94,张家界
95,晨鸣纸业
96,山东路桥
97,鄂武商
98,绿景控股
99,国新健康
100,生物
101,京粮控股
102,中润资源
103,珠海港
104,华塑
105,新金路
106,丽珠集团
107,渝开发
108,国际医学
109,荣安地产
110,四环生物
111,中兵红箭
112,长航凤凰
113,长虹美菱
114,广州浪奇
115,岭南控股
116,红太阳
117,紫光学大
118,柳工
119,广弘控股
120,冰山冷热
121,穗恒运
122,华金资本
123,顺钠股份
124,万泽股份
125,华映
126,广宇发展
127,云南白药
128,粤电力
129,中天金融
130,佛山照明
131,皖能电力
132,中原环保
133,金浦钛业
134,金圆股份
135,航天发展
136,湖南投资
137,江铃汽车
138,创元科技
139,靖远煤电
140,安道麦
141,泰山石油
142,神州信息
143,西部创业
144,莱茵体育
145,万向钱潮
146,我爱我家
147,烽火电子
148,陕国投
149,供销大集
150,渝三峡
151,海南海药
152,海德股份
153,泸州老窖
154,苏常柴
155,大洲
156,海马
157,粤宏远
158,广东甘化
159,威孚高科
160,北部湾港
161,哈工智能
162,东电
163,汇源通信
164,金洲
165,贵州轮胎
166,启迪古汉
167,太阳能
168,平潭发展
169,大通燃气
170,宝实
171,古井贡酒
172,东北制药
173,兴蓉环境
174,青岛双星
175,建投能源
176,韶能股份
177,盛达资源
178,渤海股份
179,顺利办
180,华媒控股
181,阳光股份
182,中迪投资
183,西安旅游
184,天首
185,焦作万方
186,大东海
187,京汉股份
188,海航投资
189,中油资本
190,海螺型材
191,新华联
192,恒立实业
193,吉林敖东
194,长安汽车
195,远大控股
196,天茂集团
197,高新发展
198,攀钢钒钛
199,铜陵有色
200,顺发恒业
201,三木集团
202,合金投资
203,英力特
204,风华高科
205,茂化实华
206,万方发展
207,西王食品
208,仁和药业
209,格力电器
210,泰达股份
211,金岭矿业
212,金科股份
213,中钨高新
214,珠海中富
215,长春高新
216,天夏
217,永林
218,湖北广电
219,经纬纺机
220,美好置业
221,荣丰控股
222,金鸿
223,盈方
224,阳光城
225,上峰水泥
226,当代
227,智度股份
228,恒天海龙
229,襄阳轴承
230,友谊
231,山推股份
232,视觉中国
233,东方电子
234,远兴能源
235,中山公用
236,东北证券
237,华讯
238,国城矿业
239,宝新能源
240,亚太实业
241,惠天热电
242,滨海能源
243,炼石航空
244,沈阳化工
245,模塑科技
246,厦门信达
247,正虹科技
248,恒逸石化
249,浙江震元
250,双环
251,中信特钢
252,河钢股份
253,贝瑞基因
254,京蓝科技
255,锦龙股份
256,丰乐种业
257,中兴商业
258,黑芝麻
259,韶钢松山
260,苏宁环球
261,中原传媒
262,新能泰山
263,西安饮食
264,湖南发展
265,美锦能源
266,京东方
267,鲁泰
268,东科
